trial_id,model_type,timestamp,batch_size,dropout_rate,learning_rate,lstm_units,merge_mode,recurrent_dropout,val_loss,val_mae,final_train_loss,training_epochs
BiLSTM_20250914_195836_281508,BiLSTM,2025-09-14T19:58:36.281693,32,0.5,0.0005,"[64, 32]",concat,0.2,2188.5224609375,24.6453800201416,2690.315185546875,50
BiLSTM_20250914_200119_215895,BiLSTM,2025-09-14T20:01:19.216141,32,0.5,0.0005,"[64, 32]",sum,0.0,2061.600830078125,24.165447235107422,3045.383056640625,50
BiLSTM_20250914_200526_139404,BiLSTM,2025-09-14T20:05:26.139625,64,0.5,0.0001,"[256, 128]",concat,0.1,3262.425048828125,27.5220947265625,3381.3466796875,50
BiLSTM_20250914_200725_037477,BiLSTM,2025-09-14T20:07:25.037619,64,0.3,0.0005,"[64, 32]",concat,0.0,2134.223876953125,24.033342361450195,2486.180419921875,50
BiLSTM_20250914_201018_441425,BiLSTM,2025-09-14T20:10:18.441605,64,0.4,0.0005,"[256, 128]",concat,0.1,2096.905029296875,23.984968185424805,2302.07666015625,32
BiLSTM_20250914_201332_049495,BiLSTM,2025-09-14T20:13:32.049600,16,0.3,0.0005,"[256, 128]",sum,0.2,1996.0491943359375,23.506839752197266,2156.97705078125,27
BiLSTM_20250914_201550_403976,BiLSTM,2025-09-14T20:15:50.404083,64,0.3,0.0005,"[256, 128]",concat,0.2,2093.5205078125,23.624723434448242,1934.685302734375,50
BiLSTM_20250914_201740_287047,BiLSTM,2025-09-14T20:17:40.287158,64,0.5,0.0005,"[256, 128]",sum,0.1,2099.898193359375,23.987611770629883,2429.310791015625,42
BiLSTM_20250914_201902_225585,BiLSTM,2025-09-14T20:19:02.225657,64,0.5,0.001,"[256, 128]",concat,0.0,2075.090087890625,23.63597297668457,2409.608154296875,27
BiLSTM_20250914_202238_305477,BiLSTM,2025-09-14T20:22:38.305567,16,0.4,0.0005,"[256, 128]",concat,0.0,2001.9656982421875,23.270648956298828,2163.1484375,32
