trial_id,model_type,timestamp,val_loss,val_mae,final_train_loss,training_epochs,batch_size,cnn_filters,dense_units,dropout_rate,learning_rate,lstm_units,rnn_units
CNN-LSTM_20250915_190520_682856,CNN-LSTM,2025-09-15T19:05:20.683005,2919.882568359375,28.250741958618164,3632.476806640625,20,32,32,128,0.3,0.0005,64,32
CNN-LSTM_20250915_190707_501355,CNN-LSTM,2025-09-15T19:07:07.501511,3136.408447265625,29.5575008392334,4429.29296875,31,32,32,64,0.4,0.0005,64,32
CNN-LSTM_20250915_191015_423769,CNN-LSTM,2025-09-15T19:10:15.423919,3295.533447265625,28.824525833129883,4473.31982421875,50,32,64,128,0.4,0.0001,64,64
CNN-LSTM_20250915_191211_741648,CNN-LSTM,2025-09-15T19:12:11.741873,2283.5498046875,25.445289611816406,3296.819580078125,26,32,64,128,0.4,0.001,128,32
CNN-LSTM_20250915_191551_883072,CNN-LSTM,2025-09-15T19:15:51.883253,2368.20361328125,25.31752586364746,3168.5205078125,50,32,64,256,0.3,0.0001,128,32
CNN-LSTM_20250915_191911_781566,CNN-LSTM,2025-09-15T19:19:11.781707,3209.650146484375,28.23139762878418,4092.241455078125,48,32,32,256,0.4,0.0001,128,64
CNN-LSTM_20250915_192109_526782,CNN-LSTM,2025-09-15T19:21:09.526961,2703.26904296875,27.81697654724121,3435.279541015625,30,32,32,256,0.4,0.0005,128,64
CNN-LSTM_20250915_192307_794002,CNN-LSTM,2025-09-15T19:23:07.794111,2825.89453125,29.422523498535156,4047.00048828125,31,32,32,256,0.5,0.001,64,64
CNN-LSTM_20250915_192444_903957,CNN-LSTM,2025-09-15T19:24:44.904118,3379.212890625,30.572717666625977,4882.53076171875,28,64,64,64,0.5,0.0005,128,32
CNN-LSTM_20250915_192605_137685,CNN-LSTM,2025-09-15T19:26:05.137863,2776.959716796875,26.6415958404541,3394.03857421875,18,32,32,128,0.3,0.0005,128,32
